,life,bc,matdeath,teen,abuse,gdp,legis,healthspend,wifehealth,hushealth,bothhealth,eduspend,lit,noschool,bach
766,74.5129268293,,10.0,15.992,,5245.42141944,24.6674732422,5.96435490964,,,,,1.00009000301,3.31114,13.89136
767,74.7173170732,,11.0,15.211,,6053.71603739,27.0968959875,4.95506417097,,,,3.81085991859,,,
768,74.613902439,,11.0,15.0844,,7805.88141833,24.5946235603,5.24281713111,,,,3.86753988266,,,
769,75.5202439024,,11.0,14.9578,,9365.74246801,22.6075048265,5.3141587053,,,,3.82086992264,,,
770,75.2446341463,,11.0,14.8312,,10224.2405855,24.0284684739,5.93061725717,,,,,,,
771,75.8368292683,,11.0,14.7046,,11363.4184456,25.6416391306,5.98464187482,,,,,,,
772,75.7056097561,,11.0,14.578,,13546.6987224,20.7005701372,6.47762275562,,,,3.97111010551,,,
773,75.912195122,,11.0,13.9494,,15893.8605623,25.4418977413,6.53872294809,,,,4.27013015747,,,
774,76.1682926829,,10.0,13.3208,,14157.144162,25.153632547,7.00686743061,,,,4.38924980164,,,
775,76.4756097561,,10.0,12.6922,,13509.1858158,25.7769480673,7.06496421401,,,,4.25217008591,,,
776,76.7756097561,,10.0,12.0636,,14542.1775992,24.7678024426,6.25541214972,,,,4.15794992447,1.0002399683,1.92303,18.25773
777,76.9243902439,,9.0,11.435,,13235.9775702,,6.36320706067,,,,,,,
778,77.1268292683,,9.0,10.68,,13574.978042,,6.40302879394,,,,,,,
779,77.3292682927,,9.0,9.925,3.0,13480.6507536,,6.38828759054,,,,,,,
780,76.644804878,73.3,43.0,58.1128,,2749.46349156,,5.50953371683,,,,7.70486021042,,,
781,76.8652195122,,41.0,54.3524,,2841.17648325,,5.67049108211,,,,8.35785007477,,,
782,77.1024634146,,39.0,50.592,,3003.28846783,,5.72484995454,,,,9.57120037079,0.999960005283,0.23205,9.35904
783,77.3639512195,,39.0,50.3258,,3201.2502723,,5.64878904396,,,,9.94077968597,,,
784,77.6446829268,,40.0,50.0596,,3398.62001231,,5.46818558158,,,,10.2682800293,,,
785,77.9321463415,,41.0,49.7934,,3786.87532923,,8.74444824715,,,,10.5576896667,,,
786,78.2059512195,72.6,38.0,49.5272,,4677.70901427,,7.08125007803,,,,9.05729007721,,,
787,78.449195122,77.1,40.0,49.261,,5193.48428573,,9.88319810118,,,,11.8682899475,,,
788,78.6505121951,,42.0,49.0654,,5385.74072701,,10.2933582413,,,,14.0590801239,,,
789,78.8109756098,77.8,43.0,48.8698,,5494.92531141,,11.2839188895,,,,13.1251602173,,,
790,78.9356341463,77.8,44.0,48.6742,,5688.66673217,,9.70382826985,,,,12.837269783,,,
791,79.0395121951,74.3,43.0,48.4786,,6092.6139018,,10.0710101901,,,,,,,
792,79.1416097561,,41.0,48.283,,6448.15563514,,8.08825537662,,,,,1.00039994717,2.89074,9.48384
793,79.2563902439,,41.0,47.2252,,6789.84959743,,8.96229454141,,,,,,,
794,79.3908292683,73.7,40.0,46.1674,,,,10.573662489,,,,,,,
795,,,,39.4202,,,,,,,,,,,
796,,,,38.0526,,,,,,,,,,,
797,,,,36.685,,,,,,,,,,,
798,,,,36.1642,,,,,,,,,,,
799,,,,35.6434,,,,,,,,,,,
800,,,,35.1226,,,,,,,,,,,
801,74.7097560976,,,34.6018,,,,,,,,,,,
802,75.3634146341,,,34.081,,,,,,,,,,,
803,75.3097560976,,,34.3628,,,,,,,,,,,
804,76.156097561,,,34.6446,,,,,,,,,,,
805,,,,34.9264,,,,,,,,,,,
806,77.4731707317,,,35.2082,,,,,,,,,,,
807,,,,35.49,,,,,,,,,,,
808,,,,34.9932,,,,,,,,4.92990016937,,,
809,77.8243902439,,,34.4964,,,,,,,,,,,
810,77.9716829268,,15.0,9.5572,,14307.3535347,14.7821993003,2.40283023369,,,,5.0177898407,,,
811,78.1005609756,,9.0,8.3916,,14723.2104666,19.0164603639,2.44925943794,,,,5.14965009689,1.00078999996,,
812,78.2239512195,,10.0,7.226,,15988.2750382,17.550343361,2.75451844814,,,,5.61829996109,,,
813,78.3458536585,,9.0,7.0912,,20110.1201723,17.4661173045,3.0826268614,,,,6.71737003326,,,
814,78.4657560976,,9.0,6.9564,,23578.4293525,17.2551877232,2.81346078721,,,,6.17328977585,,,25.5007
815,78.5896097561,,12.0,6.8216,,24738.0093852,14.761698655,2.66267721102,,,,6.3427400589,,,24.88507
816,78.7228780488,,9.0,6.6868,,26455.1323679,16.1467726644,2.66382123823,,,,6.39554977417,,,26.4095
817,78.8685121951,,8.0,6.552,,30915.4863903,15.4303986615,2.57804001347,,,,6.34743976593,,1.1256,28.71801
818,79.0275365854,,8.0,6.3362,,34950.3512981,16.121077007,2.85082560569,,,,6.80899000168,,1.11802,29.91406
819,79.1994878049,,8.0,6.1204,,31673.4577102,12.2275140495,3.31147239332,,,,7.30415010452,,0.98481,29.42636
820,79.3819512195,,8.0,5.9046,,30438.9001948,13.7646429373,3.42530736541,,,,6.66191005707,,0.85574,30.88688
821,79.5715121951,,7.0,5.6888,,31836.6195112,13.6363633549,3.50763508179,,,,6.64467000961,1.00033998489,0.9191,29.25806
822,79.7622682927,,7.0,5.473,,28868.2738162,,3.41160370882,,,,,,0.8715,34.10452
823,79.9497804878,,7.0,5.2794,,27909.1072053,,3.47079139657,,,,,,0.73908,24.3526
824,80.1315609756,,7.0,5.0858,,27245.7446249,,3.33201922182,,,,,,0.81862,16.46447
825,74.9682926829,,7.0,13.4416,,5994.52827687,24.0684426137,5.70253492055,,,,3.66129994392,,,
826,75.1731707317,,7.0,12.4008,,6594.71746509,26.7711862784,5.76490275361,,,,3.75678992271,,,
827,75.2219512195,,7.0,11.36,,8011.89807378,26.0725183844,6.14983466752,,,,3.98298001289,,,
828,75.1707317073,,6.0,11.3114,,9741.05838377,27.6752628168,6.40447404216,,,,4.15005016327,,,
829,75.7219512195,,6.0,11.2628,,11667.6321201,28.0963274302,6.15449696971,,,,4.02052021027,,,
830,75.9243902439,78.2,6.0,11.2142,,13317.7298342,29.624294739,6.05404437532,,,,3.89868998528,,,
831,76.5243902439,,6.0,11.1656,,15159.1411457,28.8600812055,5.8054088144,,,,4.22391986847,,0.11985,12.47088
832,76.7243902439,,5.0,11.117,,18333.9459003,28.6178293885,5.55662626126,,,,3.875,,0.11809,12.60915
833,76.9756097561,86.3,5.0,11.0988,,22649.3793401,28.0601467627,5.62878442323,,,,3.75272989273,,0.13261,13.28222
834,77.0780487805,,5.0,11.0806,,19698.4920909,28.994694955,6.56965402778,,,,4.18040990829,,0.13346,14.31346
