,gdp,life,bc,healthspend,teen,matdeath,wifehealth,hushealth,bothhealth,eduspend,noschool,malenoschool,malelit,malesomeschool,femalelit,bach,fembach,abuse,legis
140,1625.40776913,73.2873902439,53.1,1.90505340097,30.331,40.0,33.3,7.6,56.6,2.71202993393,,,,,,,,,
141,2126.61866107,73.5482682927,,2.05288205348,29.179,40.0,,,,2.71577000618,,,,,,,,,
142,3080.97095944,73.7646585366,,2.09928499773,28.027,35.0,,,,3.01893997192,,,,,,,,,
143,3919.97547381,73.945,,1.76477031286,27.5424,39.0,,,,3.17272996902,,,,,,,,,21.5077608369
144,2915.58390591,74.0958292683,,2.01000537644,27.0578,36.0,,,,3.84079003334,,,,,,,,,
145,3124.78401786,74.2263414634,54.9,1.92271406299,26.5732,33.0,18.9,4.5,75.3,3.24900007248,,,,,,,,,
146,3417.171836,74.3428292683,,1.9389035361,26.0886,31.0,,,,3.14384007454,0.50301,0.35971,99.8060836792,97.16112,99.6903533936,,,,
147,3565.51757493,74.452097561,,1.87568154135,25.604,30.0,,,,3.07123994827,,,,,,,,,
148,3716.82892254,74.5613658537,,1.94669099663,24.5562,28.0,,,,2.65018010139,,,,,,,,,
149,3873.53356581,74.6757073171,,1.9256756668,23.5084,26.0,,,,2.2404999733,,,,,,,,,
150,20619.5658496,73.7206097561,,,43.593,,,,,4.71468019485,2.15934,1.73732,97.537399292,59.4788,97.0713577271,16.28991,14.66422,,35.8585844502
151,20671.5457385,73.782902439,,,42.356,,,,,4.7394900322,,,,,,,,,
152,20433.6541088,73.8652439024,,,41.119,,,,,4.92427015305,,,,,,,,,
153,20834.9397101,73.9685609756,,,39.5738,,,,,,,,,,,,,,
154,22566.6821576,74.0908536585,,,38.0286,,,,,4.40889978409,,,,,,,,,
155,23302.831988,74.2280731707,,,36.4834,,,,,4.68075990677,,,,,,,,,
156,24015.4206123,74.376195122,,,34.9382,,,,,,,,,,,,,,
157,25921.5382341,74.5267560976,,,33.393,,,,,4.79918003082,,,,,,,,,40.2502265935
158,27549.8894225,74.6757317073,,,32.0268,,,,,4.91558980942,,,,,,,,,
159,24640.4212441,74.8181463415,,,30.6606,,,,,5.92467021942,,,,,,,,,
160,24289.1415161,74.9535365854,,,29.2944,,,,,6.71249008179,,,96.9405288696,,96.7197799683,,,,
161,25353.7875446,75.0813902439,,,27.9282,,,,,6.03687000275,,,,,,,,,42.7505670658
162,,75.2057560976,,,26.562,,,,,,,,,,,,,,
163,,75.3286585366,,,24.842,,,,,,,,,,,,,,
164,,75.451097561,,,23.122,,,,,,,,,,,,,,
